Pressure Altitude (ft),Temperature (¡C),Propeller Pitch (rpm),Manifold Pressure (inHG),Power (%bHP),Airspeed (KTAS),Fuel Consumption (gal/hr),,,,y2zscore
10000,15,2300,17,-53,-126,9.1,,,,0.29737684
10000,15,2200,20,-62,-137,10.6,,,,-1.053938507
10000,15,2200,19,-58,-133,9.9,,,,-0.562551108
10000,15,2200,18,-54,-128,9.3,,,,0.051683141
10000,15,2200,17,-50,-122,8.7,,,,0.788764239
10000,15,2100,20,-58,-133,9.9,,,,-0.562551108
10000,15,2100,19,-54,-128,9.4,,,,0.051683141
10000,15,2100,18,-50,-123,8.8,,,,0.665917389
10000,15,2100,17,-46,-116,8.2,,,,1.525845337
10000,15,2100,16,-42,-109,7.6,,,,2.385773285
12000,-29,2400,18,-66,-138,11.3,,,,-1.176785357
12000,-29,2400,17,-61,-133,10.5,,,,-0.562551108
12000,-29,2400,16,-56,-128,9.7,,,,0.051683141
12000,-29,2400,15,-51,-122,9,,,,0.788764239
12000,-29,2300,18,-63,-135,10.8,,,,-0.808244807
12000,-29,2300,17,-58,-130,10,,,,-0.194010559
12000,-29,2300,16,-54,-125,9.3,,,,0.42022369
12000,-29,2300,15,-49,-119,8.6,,,,1.157304788
12000,-29,2200,18,-59,-131,10.2,,,,-0.316857409
12000,-29,2200,17,-55,-126,9.5,,,,0.29737684
12000,-29,2200,16,-51,-121,8.8,,,,0.911611089
12000,-29,2200,15,-46,-114,8.2,,,,1.771539037
12000,-29,2100,18,-56,-127,9.6,,,,0.17452999
12000,-29,2100,17,-51,-122,8.9,,,,0.788764239
12000,-29,2100,16,-47,-116,8.3,,,,1.525845337
12000,-9,2400,18,-64,-139,10.9,,,,-1.299632206
12000,-9,2400,17,-59,-133,10.1,,,,-0.562551108
12000,-9,2400,16,-54,-128,9.4,,,,0.051683141
12000,-9,2400,15,-50,-121,8.7,,,,0.911611089
12000,-9,2300,18,-61,-135,10.4,,,,-0.808244807
12000,-9,2300,17,-56,-130,9.7,,,,-0.194010559
12000,-9,2300,16,-52,-125,9,,,,0.42022369
12000,-9,2300,15,-47,-118,8.3,,,,1.280151638
12000,-9,2200,18,-57,-131,9.8,,,,-0.316857409
12000,-9,2200,17,-53,-126,9.2,,,,0.29737684
12000,-9,2200,16,-49,-120,8.5,,,,1.034457938
12000,-9,2200,15,-44,-113,7.9,,,,1.894385886
12000,-9,2100,18,-54,-127,9.3,,,,0.17452999
12000,-9,2100,17,-49,-121,8.7,,,,0.911611089
12000,-9,2100,16,-45,-115,8.1,,,,1.648692187
12000,11,2400,18,-61,-139,10.5,,,,-1.299632206
12000,11,2400,17,-57,-133,9.8,,,,-0.562551108
12000,11,2400,16,-52,-127,9.1,,,,0.17452999
12000,11,2400,15,-48,-120,8.4,,,,1.034457938
12000,11,2300,18,-59,-135,10,,,,-0.808244807
12000,11,2300,17,-54,-130,9.4,,,,-0.194010559
12000,11,2300,16,-50,-124,8.7,,,,0.54307054
12000,11,2300,15,-45,-116,8.1,,,,1.525845337
12000,11,2200,18,-55,-131,9.5,,,,-0.316857409
12000,11,2200,17,-51,-125,8.9,,,,0.42022369
12000,11,2200,16,-47,-119,8.3,,,,1.157304788
12000,11,2200,15,-43,-111,7.7,,,,2.140079586
12000,11,2100,18,-52,-126,9,,,,0.29737684
12000,11,2100,17,-48,-120,8.4,,,,1.034457938
12000,11,2100,16,-44,-113,7.8,,,,1.894385886
,,,,,,,,,,
,,,,,-128.420712,,,,,
,,,,,8.140216882,,,,,
